ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
1802134-20160416,2448994,269816,2,HK  CONSTRUCTION GROUP INC,HK CONSTRUCTION GROUP,1760 N LEE CT,PALATINE,IL,60074,,,,,1010,Limited Business License,,,1802134,RENEW,,2/15/2016,4/8/2016,N,4/16/2016,4/15/2018,4/8/2016,4/11/2016,AAI,,,,,
27700-20160416,2447963,30837,1,ROBERTO ALDAY,ROBERTO JEWELRY,5 S WABASH AVE  506,CHICAGO,IL,60603,42,9,42-9,1,1010,Limited Business License,923,Retail Sales of Jewelry and Jewelry Repair,27700,RENEW,,2/15/2016,8/30/2016,N,4/16/2016,4/15/2018,8/30/2016,8/30/2016,AAI,,,41.88192156,-87.62606306,"(41.88192156256051, -87.62606305984501)"
2488342-20160830,2488342,409561,1,LOTUS CLEANERS & SONS INC.,LOTUS CLEANERS & SONS,1800 W ADDISON ST 1ST,CHICAGO,IL,60613,47,27,47-27,19,1010,Limited Business License,694,Laundry Service - Drop Off Only,2488342,ISSUE,8/30/2016,8/30/2016,8/30/2016,N,8/30/2016,9/15/2018,8/30/2016,8/30/2016,AAI,,38,41.94703215,-87.67411945,"(41.94703215253327, -87.6741194538038)"
2488333-20160830,2488333,409556,1,DON CROW SALON AND SPA LLC,DON CROW SALON AND SPA,436 W SURF ST 1,CHICAGO,IL,60657,44,24,44-24,19,1010,Limited Business License,144 | 894 | 895 | 896,"Hair, Nail, and Skin Care Services | Hair Services | Nail Services | Skincare Services",2488333,ISSUE,8/30/2016,8/30/2016,8/30/2016,N,8/30/2016,9/15/2018,8/30/2016,8/30/2016,AAI,,,41.93442663,-87.64083035,"(41.93442663108382, -87.64083034945163)"
2431696-20170116,2500207,377912,2,LIMRA WIRELESS INC.,WIRELESS WORLD,2415 W DEVON AVE 1ST,CHICAGO,IL,60659,50,43,50-43,24,1010,Limited Business License,922 | 652,Retail Sales of Cell Phones and Accessories | Electronic Equipment Repair,2431696,RENEW,,11/15/2016,11/28/2016,N,1/16/2017,1/15/2019,11/28/2016,1/17/2017,AAI,,43,41.99760701,-87.69053302,"(41.99760701293176, -87.69053301605958)"
2484194-20160831,2484194,409085,1,"VIENNA SERVICES, INC.",CAFE VIENNA,2523 N CLARK ST 1ST,CHICAGO,IL,60614,43,27,43-27,19,1006,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,2484194,ISSUE,8/12/2016,8/12/2016,8/12/2016,N,8/31/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,23,41.92848737,-87.64204436,"(41.928487374216466, -87.64204435669477)"
2032678-20161016,2486372,353149,1,TONY TRAN,TIP TOP #3 NAIL SALON,455 E 79TH ST 1,CHICAGO,IL,60619,6,57,Jun-57,6,1010,Limited Business License,895,Nail Services,2032678,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,51,41.75104556,-87.61272727,"(41.75104555942071, -87.61272726943835)"
1964088-20161016,2486172,342076,1,EUNICE K. BAI,BURNHAM CLEANERS,720 S CLARK ST 1ST,CHICAGO,IL,60605,4,1,1-Apr,1,1010,Limited Business License,,,1964088,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,,41.87295677,-87.63077698,"(41.87295676740757, -87.63077697619192)"
2055264-20160916,2481609,356403,1,OSCAR ORTEGA SERRANO,OSCAR DE LA O TAILOR SHOP,203 N LA SALLE ST MEZZ,CHICAGO,IL,60601,42,9,42-9,1,1010,Limited Business License,,,2055264,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.88582205,-87.63230374,"(41.885822047853026, -87.63230373508567)"
4364-20161016,2484367,3218,1,NAYLOR PIPE CO,NAYLOR PIPE CO,1230 E 92ND ST,CHICAGO,IL,60619,8,33,Aug-33,4,1010,Limited Business License,,,4364,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,,41.72779592,-87.59376847,"(41.72779592270078, -87.59376846742875)"
2488383-20160831,2488383,409628,1,"OUR CELLS, DNA & MIND, LLC","OUR CELLS, DNA & MIND, LLC",222 W MERCHANDISE MART PLZ 12TH 1225,CHICAGO,IL,60654,42,14,42-14,18,1010,Limited Business License,602,Administrative Commercial Office,2488383,ISSUE,8/31/2016,8/31/2016,8/31/2016,N,8/31/2016,9/15/2018,8/31/2016,8/31/2016,AAI,,,41.88807428,-87.6349552,"(41.8880742810662, -87.63495520292739)"
2380027-20160916,2477684,12322,51,"JONES LANG LASALLE AMERICAS, INC.","Jones Lang LaSalle Americas, Inc",222 S RIVERSIDE PLZ 21 2110,CHICAGO,IL,60606,42,,42-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2380027,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.87858156,-87.63857867,"(41.87858156072147, -87.6385786681057)"
1095908-20160916,2478887,208399,1,GENERAL GROWTH MANAGEMENT INC.,GENERAL GROWTH MANAGEMENT INC,110 N WACKER DR  R-21,CHICAGO,IL,60606,42,9,42-9,1,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1095908,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.88349824,-87.63720027,"(41.88349824310264, -87.63720027259416)"
2054389-20160916,2481544,356087,1,"DAILY PLANET PRODUCTIONS, LTD.","DAILY PLANET PRODUCTIONS, LTD.",720 N FRANKLIN ST 5TH 500,CHICAGO,IL,60654,42,68,42-68,18,1010,Limited Business License,,,2054389,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.89553242,-87.63582583,"(41.89553241941632, -87.63582582624329)"
2314918-20160916,2477681,12322,48,"JONES LANG LASALLE AMERICAS, INC.","Jones Lang LaSalle Americas (Illinois), LP",1300 N N BRANCH CANAL  1ST FLOOR,CHICAGO,IL,,27,,27-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2314918,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.90547773,-87.65119742,"(41.9054777251061, -87.65119742208267)"
1800239-20160116,2436024,313802,1,"ROCKET AUTO SALES, INC.","ROCKET AUTO SALES, INC.",5552 S ARCHER AVE,CHICAGO,IL,60638,14,34,14-34,8,1010,Limited Business License,,,1800239,RENEW,,11/15/2015,12/19/2015,N,1/16/2016,1/15/2018,12/19/2015,4/7/2016,AAI,,,41.79794048,-87.74863515,"(41.79794047813648, -87.74863515306765)"
2314740-20161016,2486400,355658,3,KURIAN FOODS INC.,AL'S BEEF,234 S WABASH AVE 1ST,CHICAGO,IL,60604,42,9,42-9,1,1006,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,2314740,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,1,41.87867435,-87.6262423,"(41.878674348181335, -87.62624229534441)"
1847663-20160516,2455136,282012,4,"AMERICAN MARITIME SERVICES OF NEW JERSEY, INC.",INTEGRATED INDUSTRIES,3305 S LAWNDALE AVE 1,CHICAGO,IL,60623,22,10,22-10,10,1010,Limited Business License,,,1847663,RENEW,,3/15/2016,4/6/2016,N,5/16/2016,5/15/2018,4/6/2016,4/7/2016,AAI,,,41.83320627,-87.71678912,"(41.83320626769458, -87.71678911675276)"
1898039-20161016,2486009,328165,1,CUTLER GROUP LP,CUTLER GROUP LP,440 S LA SALLE ST  2910,CHICAGO,IL,60605,4,49,Apr-49,1,1010,Limited Business License,,,1898039,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,,41.87588847,-87.63188472,"(41.87588847004054, -87.63188472119873)"
2060345-20161016,2486516,357013,1,KLOECKNER METALS CORPORATION,KLOECKNER METALS CORPORATION,12900 S DOTY AVE 0,CHICAGO,IL,60628,9,,9-,,1009,Manufacturing Establishments,817,Storage or Use of Hazardous Materials (MFG),2060345,RENEW,,8/15/2016,8/29/2016,N,10/16/2016,10/15/2018,8/29/2016,8/31/2016,AAI,,,41.66092623,-87.59223888,"(41.66092623284513, -87.59223888177645)"
2185370-20160916,2480478,316347,3,"TECHNOLOGY SUPPORT & SOLUTIONS, INC.","CHICAGO TECH SUPPORT, TECH SUPPORT ME",123 W MADISON ST 5TH 500,CHICAGO,IL,60602,42,9,42-9,1,1010,Limited Business License,,,2185370,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.88186094,-87.63156385,"(41.88186093773841, -87.631563844886)"
2359034-20161016,2487209,393685,1,Optimus Recycling Inc,Optimus Recycling Inc,"830 E 114TH ST 1ST FL  BAY 3,4,5",CHICAGO,IL,60628,9,,9-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2359034,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,,,,
2488349-20160831,2488349,409568,1,"BLKBRD STUDIO, LLC",BLKBRD STUDIO,3618 N MOZART ST 1ST,CHICAGO,IL,60618,33,22,33-22,17,4404,Regulated Business License,687,Interior Design / Consulting (Home Occ),2488349,ISSUE,8/30/2016,8/30/2016,8/30/2016,N,8/31/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.94727325,-87.69941879,"(41.947273245102856, -87.69941879418397)"
2320726-20160916,2477682,12322,49,"JONES LANG LASALLE AMERICAS, INC.",Jones Lang LaSalle Americas (Illinois) LP,435 N MICHIGAN AVE 12 1231,CHICAGO,IL,60611,42,,42-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2320726,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.89042416,-87.62396548,"(41.89042415977223, -87.623965477756)"
2442946-20160831,2442946,403213,1,"BELMONT ANIMAL HOSPITAL OF CHICAGO, INC",BELMONT ANIMAL HOSPITAL,1212 W BELMONT AVE GROUND,CHICAGO,IL,60657,44,9,44-9,19,1032,Animal Care License,857,Operate a Veterinary Hospital,2442946,ISSUE,12/31/2015,8/22/2016,8/22/2016,N,8/31/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,27,41.93993955,-87.65951658,"(41.93993955240925, -87.65951658318488)"
2215439-20161016,2486685,375292,1,"DIVISION AUTO CLINIC, INC.",DIVISION AUTO CLINIC,2639 W DIVISION ST 1 1,CHICAGO,IL,60622,26,61,26-61,12,8340,Motor Vehicle Services License,712,Motor Vehicle Repair - Engine and Transmission Work,2215439,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,,41.90284482,-87.69352667,"(41.902844816287356, -87.69352666869713)"
1197382-20160416,2447329,2126,56,"FASHION GALLERY, INC.",RAINBOW # 474,1621 E 95TH ST,CHICAGO,IL,60617,7,36,Jul-36,4,1010,Limited Business License,,,1197382,RENEW,,2/15/2016,4/6/2016,N,4/16/2016,4/15/2018,4/6/2016,4/7/2016,AAI,,,41.72224555,-87.58422591,"(41.72224555387446, -87.5842259142813)"
12305-20161016,2485062,63004,1,PRATTFALL INC,"OASIS, THE",6809-6813 N SHERIDAN RD 1ST,CHICAGO,IL,60626,49,29,49-29,24,1470,Tavern,829,Tavern - Consumption of Liquor on Premise,12305,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,54,42.0058719,-87.66085203,"(42.005871902451084, -87.66085202755195)"
2183910-20160916,2482018,375156,1,FG TRADING INC.,24 SEVEN FOOD MART,4343 N CLARENDON AVE 1ST,CHICAGO,IL,60613,46,33,46-33,19,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,2183910,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,34,41.96166714,-87.64976057,"(41.96166713685557, -87.64976056950601)"
2360006-20161016,2486183,343019,2,"NORMALCY HOMEHEALTH, INC.","NORMALCY HOMEHEATH, INC.",2800 W PETERSON AVE 1 106/201,CHICAGO,IL,60659,50,29,50-29,24,1010,Limited Business License,464,Provide Home Health Care Services,2360006,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,,41.99055208,-87.6994644,"(41.990552081681564, -87.69946439622785)"
2031802-20160516,2453196,5677,1,"TROSTRUD MOSAIC & TILE CO., INC.",TROSTRUD MOSAIC & TILE CO INC,779 N DILLON ST,WOOD DALE,IL,60191,,,,,1010,Limited Business License,,,2031802,RENEW,,3/15/2016,4/6/2016,N,5/16/2016,5/15/2018,4/6/2016,4/7/2016,AAI,,,,,
1904630-20160416,2449404,301005,2,CALLISONRTKL INC.,CALLISONRTKL INC.,200 S MICHIGAN AVE 18 & 19 1800,CHICAGO,IL,60604,42,9,42-9,1,1010,Limited Business License,,,1904630,RENEW,,2/15/2016,4/6/2016,N,4/16/2016,4/15/2018,4/6/2016,4/7/2016,AAI,,,41.87948933,-87.62449813,"(41.87948932869769, -87.6244981249339)"
2289282-20160916,2477675,12322,42,"JONES LANG LASALLE AMERICAS, INC.","Jones Lang LaSalle Americas (Illinois), L.P.",300 S WACKER DR 17 1720,CHICAGO,IL,60606,42,,42-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2289282,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.87801092,-87.63705852,"(41.87801092371806, -87.63705852233733)"
2261702-20160916,2477673,12322,40,"JONES LANG LASALLE AMERICAS, INC.","JONES LANG LASALLE AMERICAS, INC.",231 S LA SALLE ST 6TH,CHICAGO,IL,60604,42,9,42-9,1,1010,Limited Business License,708,Miscellaneous Commercial Services,2261702,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.87854293,-87.63212058,"(41.87854293163992, -87.63212057674588)"
66249-20160416,2447808,20466,1,"175 JACKSON, LLC","175 JACKSON, LLC",175 W JACKSON BLVD  1FLR,CHICAGO,IL,60604,42,49,42-49,1,1010,Limited Business License,,,66249,RENEW,,2/15/2016,4/4/2016,N,4/16/2016,4/15/2018,4/4/2016,4/7/2016,AAI,,,41.87801449,-87.63318903,"(41.878014487249544, -87.63318903001444)"
2314828-20160316,2445903,388852,1,MARIA C. MIRANDA,CREACCIONES MARIA CRISTINA,4100 S ASHLAND AVE 1ST,CHICAGO,IL,60609,12,16,16-Dec,9,1010,Limited Business License,767 | 923,Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Jewelry and Jewelry Repair,2314828,RENEW,,1/15/2016,8/31/2016,N,3/16/2016,3/15/2018,8/31/2016,8/31/2016,AAI,,10,41.81944143,-87.66537555,"(41.81944142629576, -87.6653755449091)"
1742022-20160916,2480061,308446,1,"SRJ ENTERPRISES, INC.",7-ELEVEN,318 W ADAMS ST 1 1A,CHICAGO,IL,60606,42,12,42-12,1,1474,Package Goods,774,Retail Sales of Packaged Liquor,1742022,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.8794728,-87.63580748,"(41.87947279717996, -87.63580748102805)"
2298418-20160916,2482019,375156,1,FG TRADING INC.,24 SEVEN FOOD MART,4343 N CLARENDON AVE 1ST,CHICAGO,IL,60613,46,33,46-33,19,1474,Package Goods,774,Retail Sales of Packaged Liquor,2298418,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,34,41.96166714,-87.64976057,"(41.96166713685557, -87.64976056950601)"
2469711-20160831,2469711,406905,1,"REMITCO, LLC","REMITCO, LLC",8430 W BRYN MAWR AVE 2 & 3 200 & 300,CHICAGO,IL,60631,41,29,41-29,16,1010,Limited Business License,602 | 897,Administrative Commercial Office | Financial Services,2469711,ISSUE,5/27/2016,8/29/2016,8/30/2016,N,8/31/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.98121021,-87.83801332,"(41.98121020982407, -87.83801331542305)"
38761-20160516,2453525,15685,2,ELGIN SHEET METAL COMPANY,ELGIN SHEET METAL CO,695  SCHNEIDER DR,SOUTH ELGIN,IL,60177,,,,,1010,Limited Business License,,,38761,RENEW,,3/15/2016,3/23/2016,N,5/16/2016,5/15/2018,3/23/2016,3/24/2016,AAI,,,,,
2049441-20161016,2486398,355594,1,Cally's Curls and Compnay,Cally's Curls and Company,1785 W HOWARD ST 1 0,CHICAGO,IL,60626,49,5,49-5,24,1010,Limited Business License,894,Hair Services,2049441,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,19,42.01928873,-87.67587631,"(42.01928873086824, -87.6758763077856)"
2341990-20160716,2469043,391861,1,MOHAMMED SAEED FARRASH,AIR TEAM MECHANICAL,5707  106TH ST  2E,CHICAGO RIDGE,IL,60415,,,,,4404,Regulated Business License,902 | 901,"Heating, Ventilation and Air Conditioning Services - Commercial | Heating, Ventilation and Air Conditioning Services - Residential",2341990,RENEW,,5/15/2016,8/31/2016,N,7/16/2016,7/15/2018,8/31/2016,8/31/2016,AAI,,,,,
2073937-20160916,2480859,329098,3,M3 CAPITAL PARTNERS LLC,M3 CAPITAL PARTNERS LLC,150 S WACKER DR 31ST 3100,CHICAGO,IL,60606,42,12,42-12,1,1010,Limited Business License,,,2073937,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.87941085,-87.63710396,"(41.8794108457744, -87.63710395748413)"
2359671-20160916,2477683,12322,50,"JONES LANG LASALLE AMERICAS, INC.","Jones Lang LaSalle Americas, Inc",20 W KINZIE ST N/A,CHICAGO,IL,60654,42,,42-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2359671,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.88935203,-87.62884885,"(41.889352033013864, -87.62884885027287)"
2469265-20160831,2469265,406648,1,XUMIN MA,XUMIN MA,300 W HILL ST 9TH 924,CHICAGO,IL,60610,27,28,27-28,18,4404,Regulated Business License,738,"Preparation of License, Certificate or Permit Applications For Compensation (Home Occ)",2469265,ISSUE,5/18/2016,8/10/2016,8/10/2016,N,8/31/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.90219524,-87.63592092,"(41.90219524331214, -87.63592091636548)"
2451424-20160831,2451424,404019,2,"THREAD HOUSE SALON, INC.",THREAD HOUSE SALON,6060 N NORTHWEST HWY 1ST,CHICAGO,IL,60631,41,22,41-22,16,1010,Limited Business License,894 | 896,Hair Services | Skincare Services,2451424,ISSUE,2/16/2016,8/31/2016,8/31/2016,N,8/31/2016,9/15/2018,8/31/2016,8/31/2016,AAI,,,41.99139781,-87.7976669,"(41.99139781365808, -87.79766689798691)"
48100-20160516,2454091,56259,1,BARLOW TYRIE INC,BARLOW TYRIE INC,222 W MERCHANDISE MART PLZ  SHOWR,CHICAGO,IL,60654,42,14,42-14,18,1010,Limited Business License,,,48100,RENEW,,3/15/2016,4/6/2016,N,5/16/2016,5/15/2018,4/6/2016,4/7/2016,AAI,,,41.88807428,-87.6349552,"(41.8880742810662, -87.63495520292739)"
2027308-20160416,2448171,51981,4,R J B PROPERTIES INC,R J B PROPERTIES INC.,11415 W 183RD PL,ORLAND PARK,IL,60467,,,,,1010,Limited Business License,,,2027308,RENEW,,2/15/2016,4/6/2016,N,4/16/2016,4/15/2018,4/6/2016,4/7/2016,AAI,,,,,
2211070-20161016,2486783,375989,1,Pontomos,Pontomos,1755 N FAIRFIELD AVE FIRST,CHICAGO,IL,60647,1,,1-,,4404,Regulated Business License,724,Other Home Occupations,2211070,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,,41.91358396,-87.69571422,"(41.913583959311175, -87.69571422354673)"
1816521-20160516,2455097,279550,2,AAA CHECKMATE,AAA CHECKMATE,160 N WACKER DR 3 300,CHICAGO,IL,60606,42,9,42-9,1,1010,Limited Business License,,,1816521,RENEW,,3/15/2016,4/6/2016,N,5/16/2016,5/15/2018,4/6/2016,4/7/2016,AAI,,,41.88476959,-87.637208,"(41.88476958737357, -87.63720799493302)"
2151947-20160516,2456327,371440,1,SUNNY JUN,Premier Telecom,2405 W 51ST ST 1ST FLOOR,CHICAGO,IL,60632,14,,14-,,1010,Limited Business License,,,2151947,RENEW,,3/15/2016,4/1/2016,N,5/16/2016,5/15/2018,4/1/2016,4/4/2016,AAI,,,41.80104129,-87.68446935,"(41.801041293056706, -87.68446934878779)"
1904957-20160516,2455194,288692,2,"PROFASTS, INC.","PROFASTS, INC.",24121 W THEODORE,PLAINFIELD,IL,60586,,,,,1010,Limited Business License,,,1904957,RENEW,,3/15/2016,4/6/2016,N,5/16/2016,5/15/2018,4/6/2016,4/7/2016,AAI,,,,,
2031625-20160516,2455137,282012,5,"AMERICAN MARITIME SERVICES OF NEW JERSEY, INC.",INTEGRATED INDUSTRIES,4201 W 36TH ST 1 100,CHICAGO,IL,60632,22,16,22-16,10,1010,Limited Business License,,,2031625,RENEW,,3/15/2016,4/6/2016,N,5/16/2016,5/15/2018,4/6/2016,4/7/2016,AAI,,,41.82711884,-87.72915153,"(41.82711884428413, -87.72915152834418)"
1845333-20160516,2455287,296371,2,VIVI 7 INC.,Victoria Sdoukos Couture Bridal,924 W MADISON ST 1ST,CHICAGO,IL,60607,25,1,25-1,12,1010,Limited Business License,,,1845333,RENEW,,3/15/2016,4/6/2016,N,5/16/2016,5/15/2018,4/6/2016,4/7/2016,AAI,,,41.8818263,-87.65080782,"(41.88182630177177, -87.65080781824132)"
2314787-20160916,2477680,12322,47,"JONES LANG LASALLE AMERICAS, INC.","Jones Lang LaSalle Americas (Illinois), L.P.",930 W EVERGREEN AVE N/A,CHICAGO,IL,60642,27,,27-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2314787,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.90502126,-87.65251954,"(41.905021262318606, -87.65251954438537)"
